Index,Level,Accuracy,Classifier,Transformation,ROC,Brier
0,Level 0,0.9938616071428571,Baseline,No transform,0.9917308968403858,0.0007990656304173172
1,Level 0,0.98828125,Baseline,No transform,0.9893791508698342,0.001118463696911931
2,Level 0,0.9871651785714286,Baseline,No transform,0.9930690392508663,0.0012833198998123407
3,Level 0,0.9916294642857143,Baseline,No transform,0.9942975051585068,0.0009305771091021597
4,Level 0,0.9916294642857143,Baseline,No transform,0.9777152504220596,0.0011018768418580294
5,Level 0,0.9849330357142857,Baseline,No transform,0.9919210995698248,0.0014395451871678233
6,Level 0,0.9821428571428571,Baseline,No transform,0.9783913352272727,0.0017389642307534814
7,Level 0,0.9916294642857143,Baseline,No transform,0.9903957981616958,0.0009416814427822828
8,Level 0,0.9905133928571429,Baseline,No transform,0.9906545153272577,0.0010953763267025352
9,Level 0,0.9893973214285714,Baseline,No transform,0.9869979517321221,0.0012136346194893122
10,Level 0,0.9938616071428571,Baseline,No transform,0.9917308968403858,0.0007990656304173172
11,Level 0,0.98828125,Baseline,No transform,0.9893791508698342,0.001118463696911931
12,Level 0,0.9871651785714286,Baseline,No transform,0.9930690392508663,0.0012833198998123407
13,Level 0,0.9916294642857143,Baseline,No transform,0.9942975051585068,0.0009305771091021597
14,Level 0,0.9916294642857143,Baseline,No transform,0.9777152504220596,0.0011018768418580294
15,Level 0,0.9849330357142857,Baseline,No transform,0.9919210995698248,0.0014395451871678233
16,Level 0,0.9821428571428571,Baseline,No transform,0.9783913352272727,0.0017389642307534814
17,Level 0,0.9916294642857143,Baseline,No transform,0.9903957981616958,0.0009416814427822828
18,Level 0,0.9905133928571429,Baseline,No transform,0.9906545153272577,0.0010953763267025352
19,Level 0,0.9893973214285714,Baseline,No transform,0.9869979517321221,0.0012136346194893122
20,Level 0,0.9938616071428571,Baseline,No transform,0.9917308968403858,0.0007990656304173172
21,Level 0,0.98828125,Baseline,No transform,0.9893791508698342,0.001118463696911931
22,Level 0,0.9871651785714286,Baseline,No transform,0.9930690392508663,0.0012833198998123407
23,Level 0,0.9916294642857143,Baseline,No transform,0.9942975051585068,0.0009305771091021597
24,Level 0,0.9916294642857143,Baseline,No transform,0.9777152504220596,0.0011018768418580294
25,Level 0,0.9849330357142857,Baseline,No transform,0.9919210995698248,0.0014395451871678233
26,Level 0,0.9821428571428571,Baseline,No transform,0.9783913352272727,0.0017389642307534814
27,Level 0,0.9916294642857143,Baseline,No transform,0.9903957981616958,0.0009416814427822828
28,Level 0,0.9905133928571429,Baseline,No transform,0.9906545153272577,0.0010953763267025352
29,Level 0,0.9893973214285714,Baseline,No transform,0.9869979517321221,0.0012136346194893122
30,Level 0,0.9938616071428571,Baseline,No transform,0.9917308968403858,0.0007990656304173172
31,Level 0,0.98828125,Baseline,No transform,0.9893791508698342,0.001118463696911931
32,Level 0,0.9871651785714286,Baseline,No transform,0.9930690392508663,0.0012833198998123407
33,Level 0,0.9916294642857143,Baseline,No transform,0.9942975051585068,0.0009305771091021597
34,Level 0,0.9916294642857143,Baseline,No transform,0.9777152504220596,0.0011018768418580294
35,Level 0,0.9849330357142857,Baseline,No transform,0.9919210995698248,0.0014395451871678233
36,Level 0,0.9821428571428571,Baseline,No transform,0.9783913352272727,0.0017389642307534814
37,Level 0,0.9916294642857143,Baseline,No transform,0.9903957981616958,0.0009416814427822828
38,Level 0,0.9905133928571429,Baseline,No transform,0.9906545153272577,0.0010953763267025352
39,Level 0,0.9893973214285714,Baseline,No transform,0.9869979517321221,0.0012136346194893122
40,Level 0,0.9938616071428571,Baseline,No transform,0.9917308968403858,0.0007990656304173172
41,Level 0,0.98828125,Baseline,No transform,0.9893791508698342,0.001118463696911931
42,Level 0,0.9871651785714286,Baseline,No transform,0.9930690392508663,0.0012833198998123407
43,Level 0,0.9916294642857143,Baseline,No transform,0.9942975051585068,0.0009305771091021597
44,Level 0,0.9916294642857143,Baseline,No transform,0.9777152504220596,0.0011018768418580294
45,Level 0,0.9849330357142857,Baseline,No transform,0.9919210995698248,0.0014395451871678233
46,Level 0,0.9821428571428571,Baseline,No transform,0.9783913352272727,0.0017389642307534814
47,Level 0,0.9916294642857143,Baseline,No transform,0.9903957981616958,0.0009416814427822828
48,Level 0,0.9905133928571429,Baseline,No transform,0.9906545153272577,0.0010953763267025352
49,Level 0,0.9893973214285714,Baseline,No transform,0.9869979517321221,0.0012136346194893122
0,Level 0,0.9871651785714286,MC Dropout,No transform,0.9919876127510016,0.0024501860607415438
1,Level 0,0.98828125,MC Dropout,No transform,0.9926057379473529,0.0022743670269846916
2,Level 0,0.98828125,MC Dropout,No transform,0.9904546798956736,0.0024753694888204336
3,Level 0,0.9860491071428571,MC Dropout,No transform,0.9891114883984153,0.0030439468100667
4,Level 0,0.9871651785714286,MC Dropout,No transform,0.9893332022513333,0.002280628075823188
5,Level 0,0.984375,MC Dropout,No transform,0.9936629413670229,0.0026958847884088755
6,Level 0,0.98828125,MC Dropout,No transform,0.9928477319781668,0.0021972672548145056
7,Level 0,0.9832589285714286,MC Dropout,No transform,0.9895384033295498,0.003247855231165886
8,Level 0,0.98828125,MC Dropout,No transform,0.9937350434244845,0.0023289083037525415
9,Level 0,0.98828125,MC Dropout,No transform,0.99470301954774,0.002211490413174033
