Index,Level,Accuracy,Classifier,Transformation,ROC,Brier
0,Level 1,0.9905133928571429,Baseline,Noise,0.9866777133388567,0.0012464768951758742
1,Level 1,0.9620535714285714,Baseline,Noise,0.9649839634229562,0.003983878530561924
2,Level 1,0.9927455357142857,Baseline,Noise,0.9929087214078782,0.001024280209094286
3,Level 1,0.9877232142857143,Baseline,Noise,0.9728556753980483,0.0018296883208677173
4,Level 1,0.9866071428571429,Baseline,Noise,0.9792373680241326,0.0018705548718571663
5,Level 1,0.9665178571428571,Baseline,Noise,0.9420900692840647,0.0034938317257910967
6,Level 1,0.9743303571428571,Baseline,Noise,0.9727202549927785,0.0030143687035888433
7,Level 1,0.9832589285714286,Baseline,Noise,0.9744797578509269,0.0023580575361847878
8,Level 1,0.9821428571428571,Baseline,Noise,0.9893643465909091,0.001958670560270548
9,Level 1,0.9910714285714286,Baseline,Noise,0.9759290540540542,0.0012496758718043566
10,Level 1,0.9888392857142857,Baseline,Noise,0.9903781038374718,0.0014437938807532191
11,Level 1,0.9866071428571429,Baseline,Noise,0.9827017345399699,0.0018121983157470822
12,Level 1,0.9832589285714286,Baseline,Noise,0.9803064699205449,0.002111112931743264
13,Level 1,0.984375,Baseline,Noise,0.9868197278911564,0.00166987010743469
14,Level 1,0.9866071428571429,Baseline,Noise,0.9757494343891403,0.0019037285819649696
15,Level 1,0.9938616071428571,Baseline,Noise,0.983512837527436,0.0011264972854405642
16,Level 1,0.984375,Baseline,Noise,0.9724854227405247,0.0018330028979107738
17,Level 1,0.9899553571428571,Baseline,Noise,0.9944569710635099,0.00121516443323344
18,Level 1,0.9871651785714286,Baseline,Noise,0.9879076855015115,0.001538627315312624
19,Level 1,0.9838169642857143,Baseline,Noise,0.9864650771607957,0.0017702238401398063
20,Level 2,0.9860491071428571,Baseline,Noise,0.9827277872099605,0.00216689333319664
21,Level 2,0.9319196428571429,Baseline,Noise,0.9440855992932169,0.007607470732182264
22,Level 2,0.9899553571428571,Baseline,Noise,0.9930164098709758,0.001652514678426087
23,Level 2,0.9821428571428571,Baseline,Noise,0.969833096590909,0.0029980747494846582
24,Level 2,0.9670758928571429,Baseline,Noise,0.9659060901542343,0.004610586911439896
25,Level 2,0.9224330357142857,Baseline,Noise,0.8888917903789492,0.008446844294667244
26,Level 2,0.9425223214285714,Baseline,Noise,0.9493927009145412,0.006546292919665575
27,Level 2,0.9313616071428571,Baseline,Noise,0.9629981440617281,0.006695189978927374
28,Level 2,0.9676339285714286,Baseline,Noise,0.9728453247424731,0.004373460542410612
29,Level 2,0.9877232142857143,Baseline,Noise,0.9732408834103748,0.002182033844292164
30,Level 2,0.9748883928571429,Baseline,Noise,0.9779685810595943,0.003424506401643157
31,Level 2,0.96875,Baseline,Noise,0.9671967577353521,0.004206023644655943
32,Level 2,0.9626116071428571,Baseline,Noise,0.9611421155094094,0.004661626182496548
33,Level 2,0.9760044642857143,Baseline,Noise,0.9790976903745662,0.003026465652510524
34,Level 2,0.9637276785714286,Baseline,Noise,0.9337312369159503,0.005090767052024603
35,Level 2,0.9849330357142857,Baseline,Noise,0.9853530584408772,0.0028281849808990955
36,Level 2,0.9581473214285714,Baseline,Noise,0.9473034362259756,0.004933031741529703
37,Level 2,0.9849330357142857,Baseline,Noise,0.9887315077116776,0.0024287179112434387
38,Level 2,0.9760044642857143,Baseline,Noise,0.9781137394125546,0.003393834922462702
39,Level 2,0.9754464285714286,Baseline,Noise,0.9729301019346785,0.003251930931583047
40,Level 3,0.9832589285714286,Baseline,Noise,0.9725501324252742,0.0029547889716923237
41,Level 3,0.9034598214285714,Baseline,Noise,0.9318890201972958,0.010069380514323711
42,Level 3,0.9888392857142857,Baseline,Noise,0.9907167042889391,0.0021132209803909063
43,Level 3,0.9782366071428571,Baseline,Noise,0.9701025348486844,0.0036639515310525894
44,Level 3,0.9520089285714286,Baseline,Noise,0.9472109381389897,0.006923466920852661
45,Level 3,0.8777901785714286,Baseline,Noise,0.8711010865431787,0.0122374864295125
46,Level 3,0.9213169642857143,Baseline,Noise,0.9261956003453742,0.009005117230117321
47,Level 3,0.9045758928571429,Baseline,Noise,0.9497783117056471,0.009356335736811161
48,Level 3,0.9497767857142857,Baseline,Noise,0.966771118945032,0.006324458867311478
49,Level 3,0.9821428571428571,Baseline,Noise,0.976171875,0.0028711799532175064
50,Level 3,0.9637276785714286,Baseline,Noise,0.9668077145784153,0.00497202156111598
51,Level 3,0.94921875,Baseline,Noise,0.9615352313765012,0.006020300090312958
52,Level 3,0.9441964285714286,Baseline,Noise,0.9586879432624115,0.0064751701429486275
53,Level 3,0.96875,Baseline,Noise,0.9760944700460829,0.003981983754783869
54,Level 3,0.9347098214285714,Baseline,Noise,0.9171935195815792,0.007742591667920351
55,Level 3,0.9760044642857143,Baseline,Noise,0.9794168096054888,0.004286770708858967
56,Level 3,0.9280133928571429,Baseline,Noise,0.9318314244826991,0.007355307228863239
57,Level 3,0.9810267857142857,Baseline,Noise,0.9798233286488657,0.00339661561883986
58,Level 3,0.9620535714285714,Baseline,Noise,0.9736505391019518,0.004896735772490501
59,Level 3,0.9693080357142857,Baseline,Noise,0.9634270162767572,0.004398108460009098
60,Level 4,0.9765625,Baseline,Noise,0.9594149659863945,0.004339814186096191
61,Level 4,0.8666294642857143,Baseline,Noise,0.918979866205778,0.013081221841275692
62,Level 4,0.9827008928571429,Baseline,Noise,0.9825978641167958,0.0029988072346895933
63,Level 4,0.9681919642857143,Baseline,Noise,0.9738409424136711,0.004682779777795076
64,Level 4,0.9079241071428571,Baseline,Noise,0.95300143413235,0.010359038598835468
65,Level 4,0.8303571428571429,Baseline,Noise,0.8225496958121109,0.01761195994913578
66,Level 4,0.8738839285714286,Baseline,Noise,0.9219701850156534,0.012326003983616829
67,Level 4,0.8699776785714286,Baseline,Noise,0.9345211385090586,0.012870077975094318
68,Level 4,0.9224330357142857,Baseline,Noise,0.9575308899885537,0.009223689325153828
69,Level 4,0.9748883928571429,Baseline,Noise,0.973096737263881,0.004017083439975977
70,Level 4,0.9397321428571429,Baseline,Noise,0.9536707134688132,0.007429657969623804
71,Level 4,0.9213169642857143,Baseline,Noise,0.9534389216077942,0.008675765246152878
