,ROC,Measure,Classifier,GAN
140,0.7948938486527424,7,Baseline,Lee Gan conditional
141,0.7158640647421078,7,Baseline,Lee Gan conditional
142,0.7555884536431761,7,Baseline,Lee Gan conditional
143,0.8250112728196747,7,Baseline,Lee Gan conditional
144,0.7312779329261001,7,Baseline,Lee Gan conditional
145,0.8001455190230389,7,Baseline,Lee Gan conditional
146,0.8047846580038265,7,Baseline,Lee Gan conditional
147,0.6280352534080038,7,Baseline,Lee Gan conditional
148,0.788160518724091,7,Baseline,Lee Gan conditional
149,0.7846288875657684,7,Baseline,Lee Gan conditional
150,0.7879970316984215,7,Baseline,Lee Gan conditional
151,0.8396182936065051,7,Baseline,Lee Gan conditional
152,0.6904539770009567,7,Baseline,Lee Gan conditional
153,0.6819756955516582,7,Baseline,Lee Gan conditional
154,0.7180258303272481,7,Baseline,Lee Gan conditional
155,0.839074893873565,7,Baseline,Lee Gan conditional
156,0.7007050806162308,7,Baseline,Lee Gan conditional
157,0.7585559767119738,7,Baseline,Lee Gan conditional
158,0.8320038464604593,7,Baseline,Lee Gan conditional
159,0.7260363831812021,7,Baseline,Lee Gan conditional
140,0.8123480349170918,7,MC Dropout,Lee Gan conditional
141,0.8168856562400351,7,MC Dropout,Lee Gan conditional
142,0.8258872518734057,7,MC Dropout,Lee Gan conditional
143,0.8175260582748725,7,MC Dropout,Lee Gan conditional
144,0.8069355244539221,7,MC Dropout,Lee Gan conditional
145,0.8462463690310109,7,MC Dropout,Lee Gan conditional
146,0.8209206717354911,7,MC Dropout,Lee Gan conditional
147,0.8449263280751753,7,MC Dropout,Lee Gan conditional
148,0.8155813411790498,7,MC Dropout,Lee Gan conditional
149,0.808153113540338,7,MC Dropout,Lee Gan conditional
150,0.8154857401945154,7,MC Dropout,Lee Gan conditional
151,0.8345760423309949,7,MC Dropout,Lee Gan conditional
152,0.8014909393933355,7,MC Dropout,Lee Gan conditional
153,0.8118032338667889,7,MC Dropout,Lee Gan conditional
154,0.7939957599250638,7,MC Dropout,Lee Gan conditional
155,0.7730062056560907,7,MC Dropout,Lee Gan conditional
156,0.8601295315489477,7,MC Dropout,Lee Gan conditional
157,0.8024696817203443,7,MC Dropout,Lee Gan conditional
158,0.8086672413105869,7,MC Dropout,Lee Gan conditional
159,0.8362630727339764,7,MC Dropout,Lee Gan conditional
60,0.6938344215860172,3,Baseline,Lee WGan conditional
61,0.65966796875,3,Baseline,Lee WGan conditional
62,0.8166731231066646,3,Baseline,Lee WGan conditional
63,0.8973159790039062,3,Baseline,Lee WGan conditional
64,0.7801828189772002,3,Baseline,Lee WGan conditional
65,0.8856180930624203,3,Baseline,Lee WGan conditional
66,0.6849237558793048,3,Baseline,Lee WGan conditional
67,0.562345855090083,3,Baseline,Lee WGan conditional
68,0.7343798267598054,3,Baseline,Lee WGan conditional
