,ROC,Measure,Classifier,GAN
0,0.8754752022879464,Lee Gan conditional 0,Baseline,Lee Gan conditional
1,0.9106885948959662,Lee Gan conditional 0,Baseline,Lee Gan conditional
2,0.8597687701789701,Lee Gan conditional 0,Baseline,Lee Gan conditional
3,0.8947039234394929,Lee Gan conditional 0,Baseline,Lee Gan conditional
4,0.8854960227499203,Lee Gan conditional 0,Baseline,Lee Gan conditional
5,0.9414481338189571,Lee Gan conditional 0,Baseline,Lee Gan conditional
6,0.911667181521046,Lee Gan conditional 0,Baseline,Lee Gan conditional
7,0.850223463408801,Lee Gan conditional 0,Baseline,Lee Gan conditional
8,0.8936621218311543,Lee Gan conditional 0,Baseline,Lee Gan conditional
9,0.9024273619359854,Lee Gan conditional 0,Baseline,Lee Gan conditional
10,0.8235163785973374,Lee Gan conditional 0,Baseline,Lee Gan conditional
11,0.9047354873345822,Lee Gan conditional 0,Baseline,Lee Gan conditional
12,0.9052067970742984,Lee Gan conditional 0,Baseline,Lee Gan conditional
13,0.8694672876474807,Lee Gan conditional 0,Baseline,Lee Gan conditional
14,0.8488534421336894,Lee Gan conditional 0,Baseline,Lee Gan conditional
15,0.897172110421317,Lee Gan conditional 0,Baseline,Lee Gan conditional
16,0.8888883006816009,Lee Gan conditional 0,Baseline,Lee Gan conditional
17,0.8953598956672514,Lee Gan conditional 0,Baseline,Lee Gan conditional
18,0.8780408586774553,Lee Gan conditional 0,Baseline,Lee Gan conditional
19,0.9096198568538743,Lee Gan conditional 0,Baseline,Lee Gan conditional
20,0.9012136653977998,Lee Gan conditional 1,Baseline,Lee Gan conditional
21,0.7858830666055484,Lee Gan conditional 1,Baseline,Lee Gan conditional
22,0.8768425766302614,Lee Gan conditional 1,Baseline,Lee Gan conditional
23,0.9419286299724968,Lee Gan conditional 1,Baseline,Lee Gan conditional
24,0.835141707439812,Lee Gan conditional 1,Baseline,Lee Gan conditional
25,0.8867643706652584,Lee Gan conditional 1,Baseline,Lee Gan conditional
26,0.8836167004643654,Lee Gan conditional 1,Baseline,Lee Gan conditional
27,0.7535677540058993,Lee Gan conditional 1,Baseline,Lee Gan conditional
28,0.834007418885523,Lee Gan conditional 1,Baseline,Lee Gan conditional
29,0.9091371808733257,Lee Gan conditional 1,Baseline,Lee Gan conditional
30,0.8939336659956952,Lee Gan conditional 1,Baseline,Lee Gan conditional
31,0.9031994878029336,Lee Gan conditional 1,Baseline,Lee Gan conditional
32,0.7626708672971142,Lee Gan conditional 1,Baseline,Lee Gan conditional
33,0.8124107827945632,Lee Gan conditional 1,Baseline,Lee Gan conditional
34,0.8149157154316805,Lee Gan conditional 1,Baseline,Lee Gan conditional
35,0.8968851517657843,Lee Gan conditional 1,Baseline,Lee Gan conditional
36,0.7806830892757495,Lee Gan conditional 1,Baseline,Lee Gan conditional
37,0.8843983241489956,Lee Gan conditional 1,Baseline,Lee Gan conditional
38,0.8384611168686223,Lee Gan conditional 1,Baseline,Lee Gan conditional
39,0.7039763781489159,Lee Gan conditional 1,Baseline,Lee Gan conditional
40,0.8628849885901626,Lee Gan conditional 2,Baseline,Lee Gan conditional
41,0.8199970478914222,Lee Gan conditional 2,Baseline,Lee Gan conditional
42,0.8163850745376274,Lee Gan conditional 2,Baseline,Lee Gan conditional
43,0.8805744404695472,Lee Gan conditional 2,Baseline,Lee Gan conditional
44,0.8297229688994738,Lee Gan conditional 2,Baseline,Lee Gan conditional
45,0.8809081097038425,Lee Gan conditional 2,Baseline,Lee Gan conditional
46,0.8233606766681282,Lee Gan conditional 2,Baseline,Lee Gan conditional
47,0.7461653728874362,Lee Gan conditional 2,Baseline,Lee Gan conditional
48,0.8185532239018654,Lee Gan conditional 2,Baseline,Lee Gan conditional
49,0.8712899344308036,Lee Gan conditional 2,Baseline,Lee Gan conditional
50,0.8826082190688775,Lee Gan conditional 2,Baseline,Lee Gan conditional
51,0.8590016267737564,Lee Gan conditional 2,Baseline,Lee Gan conditional
52,0.8526779486208546,Lee Gan conditional 2,Baseline,Lee Gan conditional
53,0.8300524341816806,Lee Gan conditional 2,Baseline,Lee Gan conditional
54,0.7373878323301977,Lee Gan conditional 2,Baseline,Lee Gan conditional
55,0.831819028270488,Lee Gan conditional 2,Baseline,Lee Gan conditional
56,0.8228706826969069,Lee Gan conditional 2,Baseline,Lee Gan conditional
57,0.8387781259964924,Lee Gan conditional 2,Baseline,Lee Gan conditional
58,0.8627798897879462,Lee Gan conditional 2,Baseline,Lee Gan conditional
59,0.8256916902503189,Lee Gan conditional 2,Baseline,Lee Gan conditional
60,0.8733987613600127,Lee Gan conditional 3,Baseline,Lee Gan conditional
61,0.7393443827726403,Lee Gan conditional 3,Baseline,Lee Gan conditional
62,0.8187763447664222,Lee Gan conditional 3,Baseline,Lee Gan conditional
