,ROC,Measure,Classifier
0,0.8754752022879464,Lee GAN conditional,Baseline
1,0.9106885948959662,Lee GAN conditional,Baseline
2,0.8597687701789701,Lee GAN conditional,Baseline
3,0.8947039234394929,Lee GAN conditional,Baseline
4,0.8854960227499203,Lee GAN conditional,Baseline
5,0.9414481338189571,Lee GAN conditional,Baseline
6,0.911667181521046,Lee GAN conditional,Baseline
7,0.850223463408801,Lee GAN conditional,Baseline
8,0.8936621218311543,Lee GAN conditional,Baseline
9,0.9024273619359854,Lee GAN conditional,Baseline
10,0.8235163785973374,Lee GAN conditional,Baseline
11,0.9047354873345822,Lee GAN conditional,Baseline
12,0.9052067970742984,Lee GAN conditional,Baseline
13,0.8694672876474807,Lee GAN conditional,Baseline
14,0.8488534421336894,Lee GAN conditional,Baseline
15,0.897172110421317,Lee GAN conditional,Baseline
16,0.8888883006816009,Lee GAN conditional,Baseline
17,0.8953598956672514,Lee GAN conditional,Baseline
18,0.8780408586774553,Lee GAN conditional,Baseline
19,0.9096198568538743,Lee GAN conditional,Baseline
20,0.9012136653977998,Lee GAN conditional,Baseline
21,0.7858830666055484,Lee GAN conditional,Baseline
22,0.8768425766302614,Lee GAN conditional,Baseline
23,0.9419286299724968,Lee GAN conditional,Baseline
24,0.835141707439812,Lee GAN conditional,Baseline
25,0.8867643706652584,Lee GAN conditional,Baseline
26,0.8836167004643654,Lee GAN conditional,Baseline
27,0.7535677540058993,Lee GAN conditional,Baseline
28,0.834007418885523,Lee GAN conditional,Baseline
29,0.9091371808733257,Lee GAN conditional,Baseline
30,0.8939336659956952,Lee GAN conditional,Baseline
31,0.9031994878029336,Lee GAN conditional,Baseline
32,0.7626708672971142,Lee GAN conditional,Baseline
33,0.8124107827945632,Lee GAN conditional,Baseline
34,0.8149157154316805,Lee GAN conditional,Baseline
35,0.8968851517657843,Lee GAN conditional,Baseline
36,0.7806830892757495,Lee GAN conditional,Baseline
37,0.8843983241489956,Lee GAN conditional,Baseline
