,ROC,Measure,Classifier
0,0.8747820172991071,Lee WGAN conditional,Baseline
1,0.8711259802993463,Lee WGAN conditional,Baseline
2,0.9090130864357463,Lee WGAN conditional,Baseline
3,0.9301686189612564,Lee WGAN conditional,Baseline
4,0.9056675190828285,Lee WGAN conditional,Baseline
5,0.8862644117705677,Lee WGAN conditional,Baseline
6,0.9080885283801021,Lee WGAN conditional,Baseline
7,0.7853616208446269,Lee WGAN conditional,Baseline
8,0.9103602195272641,Lee WGAN conditional,Baseline
9,0.8408956722337374,Lee WGAN conditional,Baseline
10,0.923236301967076,Lee WGAN conditional,Baseline
11,0.8592186752630739,Lee WGAN conditional,Baseline
12,0.880082266671317,Lee WGAN conditional,Baseline
13,0.9012469856106504,Lee WGAN conditional,Baseline
14,0.9057586047114159,Lee WGAN conditional,Baseline
15,0.888737425512197,Lee WGAN conditional,Baseline
16,0.9184385027204242,Lee WGAN conditional,Baseline
17,0.899457970444037,Lee WGAN conditional,Baseline
18,0.8806370326450892,Lee WGAN conditional,Baseline
19,0.8731041733099489,Lee WGAN conditional,Baseline
20,0.8813076408541933,Lee WGAN conditional,Baseline
21,0.9131647226761799,Lee WGAN conditional,Baseline
22,0.9028029149892378,Lee WGAN conditional,Baseline
23,0.9050722706074616,Lee WGAN conditional,Baseline
24,0.9317198772819675,Lee WGAN conditional,Baseline
25,0.8636932373046874,Lee WGAN conditional,Baseline
26,0.8991473450952647,Lee WGAN conditional,Baseline
27,0.8918485057597259,Lee WGAN conditional,Baseline
28,0.9223449084223534,Lee WGAN conditional,Baseline
29,0.871974400111607,Lee WGAN conditional,Baseline
30,0.9302463142239317,Lee WGAN conditional,Baseline
31,0.9220180900729433,Lee WGAN conditional,Baseline
32,0.9396248642279176,Lee WGAN conditional,Baseline
33,0.9088698406608736,Lee WGAN conditional,Baseline
34,0.9214731333207111,Lee WGAN conditional,Baseline
35,0.9005516207948023,Lee WGAN conditional,Baseline
36,0.9242299916792889,Lee WGAN conditional,Baseline
37,0.9459527463329082,Lee WGAN conditional,Baseline
38,0.8841795629384566,Lee WGAN conditional,Baseline
39,0.9109160754145409,Lee WGAN conditional,Baseline
40,0.9218477521623885,Lee WGAN conditional,Baseline
41,0.9252249270069354,Lee WGAN conditional,Baseline
42,0.8952759723274075,Lee WGAN conditional,Baseline
43,0.9235584492586097,Lee WGAN conditional,Baseline
44,0.8992051105110012,Lee WGAN conditional,Baseline
45,0.8264375024912309,Lee WGAN conditional,Baseline
46,0.885151921486368,Lee WGAN conditional,Baseline
47,0.8837098102180325,Lee WGAN conditional,Baseline
48,0.923573552345743,Lee WGAN conditional,Baseline
49,0.8771310923050861,Lee WGAN conditional,Baseline
50,0.9291020607461735,Lee WGAN conditional,Baseline
51,0.8563072048887914,Lee WGAN conditional,Baseline
52,0.9091944791832748,Lee WGAN conditional,Baseline
53,0.875469752720424,Lee WGAN conditional,Baseline
54,0.9176461356026786,Lee WGAN conditional,Baseline
55,0.9209940384845345,Lee WGAN conditional,Baseline
56,0.9121872259646047,Lee WGAN conditional,Baseline
57,0.9058303833007814,Lee WGAN conditional,Baseline
58,0.8604783038703763,Lee WGAN conditional,Baseline
59,0.9171072512256857,Lee WGAN conditional,Baseline
60,0.6938344215860172,Lee WGAN conditional,Baseline
61,0.65966796875,Lee WGAN conditional,Baseline
62,0.8166731231066646,Lee WGAN conditional,Baseline
63,0.8973159790039062,Lee WGAN conditional,Baseline
64,0.7801828189772002,Lee WGAN conditional,Baseline
65,0.8856180930624203,Lee WGAN conditional,Baseline
66,0.6849237558793048,Lee WGAN conditional,Baseline
67,0.562345855090083,Lee WGAN conditional,Baseline
68,0.7343798267598054,Lee WGAN conditional,Baseline
69,0.8523104920679209,Lee WGAN conditional,Baseline
70,0.7790525786730708,Lee WGAN conditional,Baseline
71,0.6477573939732142,Lee WGAN conditional,Baseline
72,0.6942037465621014,Lee WGAN conditional,Baseline
73,0.8623078015385841,Lee WGAN conditional,Baseline
