,ROC,Measure,Classifier
0,0.992763597138074,Uniform noise,Baseline
1,0.9849616848692603,Uniform noise,Baseline
2,0.9934496198381695,Uniform noise,Baseline
3,0.9759941879583865,Uniform noise,Baseline
4,0.9846069958745216,Uniform noise,Baseline
5,0.9981564891581632,Uniform noise,Baseline
6,0.9941368881536989,Uniform noise,Baseline
7,0.9878144556162307,Uniform noise,Baseline
8,0.9958816839724172,Uniform noise,Baseline
9,0.9990885209064093,Uniform noise,Baseline
10,0.9921052893813775,Uniform noise,Baseline
11,0.9960485964405293,Uniform noise,Baseline
12,0.9920395831672513,Uniform noise,Baseline
13,0.9946273492307078,Uniform noise,Baseline
14,0.9850423384685906,Uniform noise,Baseline
15,0.9770675970583547,Uniform noise,Baseline
16,0.9840474031409437,Uniform noise,Baseline
17,0.9966913340043049,Uniform noise,Baseline
18,0.9971509660993304,Uniform noise,Baseline
19,0.9024396623883928,Uniform noise,Baseline
20,0.9889812858737246,Normal noise,Baseline
21,0.9873149638273278,Normal noise,Baseline
22,0.973743672273597,Normal noise,Baseline
23,0.9440102090640944,Normal noise,Baseline
24,0.9901923354791135,Normal noise,Baseline
25,0.9888377286949935,Normal noise,Baseline
26,0.9966125488281249,Normal noise,Baseline
27,0.9857370804767219,Normal noise,Baseline
28,0.9719608851841518,Normal noise,Baseline
29,0.9887265575175382,Normal noise,Baseline
30,0.9879988067004145,Normal noise,Baseline
31,0.9803912104392539,Normal noise,Baseline
32,0.9809149917291136,Normal noise,Baseline
33,0.9947603186782527,Normal noise,Baseline
34,0.9872473891900511,Normal noise,Baseline
35,0.9931083212093431,Normal noise,Baseline
36,0.9931024045360332,Normal noise,Baseline
37,0.9820914755062181,Normal noise,Baseline
38,0.9885462546835139,Normal noise,Baseline
39,0.9879869733537946,Normal noise,Baseline
40,0.945560377471301,Tiny ImageNet,Baseline
41,0.9498426476303412,Tiny ImageNet,Baseline
42,0.9584110804966519,Tiny ImageNet,Baseline
43,0.9516025465361926,Tiny ImageNet,Baseline
44,0.9565924819634885,Tiny ImageNet,Baseline
45,0.9649932238520407,Tiny ImageNet,Baseline
46,0.9525188523895886,Tiny ImageNet,Baseline
47,0.9259791471520249,Tiny ImageNet,Baseline
48,0.9641191132214604,Tiny ImageNet,Baseline
49,0.952613674864477,Tiny ImageNet,Baseline
50,0.9504464597118143,Tiny ImageNet,Baseline
51,0.965172748176419,Tiny ImageNet,Baseline
52,0.9452053770727042,Tiny ImageNet,Baseline
53,0.9598914944395727,Tiny ImageNet,Baseline
54,0.928956635144292,Tiny ImageNet,Baseline
55,0.9419401519152584,Tiny ImageNet,Baseline
56,0.9224537440708707,Tiny ImageNet,Baseline
57,0.9600191700215241,Tiny ImageNet,Baseline
58,0.9514262919523278,Tiny ImageNet,Baseline
59,0.9332347013512436,Tiny ImageNet,Baseline
60,0.9466073172433036,Shuffled images,Baseline
61,0.9877886090959821,Shuffled images,Baseline
62,0.979589656907685,Shuffled images,Baseline
63,0.9838639862683354,Shuffled images,Baseline
64,0.9698716766980231,Shuffled images,Baseline
65,0.9916568678252551,Shuffled images,Baseline
66,0.9917387670400192,Shuffled images,Baseline
67,0.9672544829699457,Shuffled images,Baseline
68,0.9818887515943878,Shuffled images,Baseline
