,ROC,Measure,Classifier
0,0.9891861896125638,Sricharan WGan 002 conditional ,Baseline
1,0.9630846296037945,Sricharan WGan 002 conditional ,Baseline
2,0.9242939851721939,Sricharan WGan 002 conditional ,Baseline
3,0.963353682537468,Sricharan WGan 002 conditional ,Baseline
4,0.9937843789859694,Sricharan WGan 002 conditional ,Baseline
5,0.9781961246412629,Sricharan WGan 002 conditional ,Baseline
6,0.9817100057796555,Sricharan WGan 002 conditional ,Baseline
7,0.8973145776865433,Sricharan WGan 002 conditional ,Baseline
8,0.9267514287209024,Sricharan WGan 002 conditional ,Baseline
9,0.9890666105309313,Sricharan WGan 002 conditional ,Baseline
10,0.7298506133410396,Sricharan WGan 002 conditional ,Baseline
11,0.9850495007573342,Sricharan WGan 002 conditional ,Baseline
12,0.9496656145368305,Sricharan WGan 002 conditional ,Baseline
13,0.9875351263552293,Sricharan WGan 002 conditional ,Baseline
14,0.8018734990334024,Sricharan WGan 002 conditional ,Baseline
15,0.9742173175422513,Sricharan WGan 002 conditional ,Baseline
16,0.9371580785634567,Sricharan WGan 002 conditional ,Baseline
17,0.9482896765884088,Sricharan WGan 002 conditional ,Baseline
18,0.9851675228196747,Sricharan WGan 002 conditional ,Baseline
19,0.9911981699418049,Sricharan WGan 002 conditional ,Baseline
20,0.9879823022959182,Sricharan WGan 002 conditional ,Baseline
21,0.8928347217793366,Sricharan WGan 002 conditional ,Baseline
22,0.9755597795758929,Sricharan WGan 002 conditional ,Baseline
23,0.979402191784917,Sricharan WGan 002 conditional ,Baseline
24,0.9858772122130104,Sricharan WGan 002 conditional ,Baseline
25,0.9881134033203124,Sricharan WGan 002 conditional ,Baseline
26,0.9870462222975127,Sricharan WGan 002 conditional ,Baseline
27,0.9117546860052615,Sricharan WGan 002 conditional ,Baseline
28,0.37633436553332267,Sricharan WGan 002 conditional ,Baseline
29,0.9857084313217473,Sricharan WGan 002 conditional ,Baseline
30,0.9891812071508291,Sricharan WGan 002 conditional ,Baseline
31,0.9810728734853317,Sricharan WGan 002 conditional ,Baseline
32,0.8930318404217156,Sricharan WGan 002 conditional ,Baseline
33,0.9691883009307238,Sricharan WGan 002 conditional ,Baseline
34,0.9921940394810269,Sricharan WGan 002 conditional ,Baseline
35,0.7972148973114637,Sricharan WGan 002 conditional ,Baseline
36,0.9083306448800224,Sricharan WGan 002 conditional ,Baseline
37,0.9839169249242665,Sricharan WGan 002 conditional ,Baseline
38,0.8883783768634407,Sricharan WGan 002 conditional ,Baseline
39,0.9924260353555485,Sricharan WGan 002 conditional ,Baseline
40,0.9911293496890945,Sricharan WGan 002 conditional ,Baseline
41,0.9885095090282207,Sricharan WGan 002 conditional ,Baseline
42,0.925948006766183,Sricharan WGan 002 conditional ,Baseline
43,0.8350137204540019,Sricharan WGan 002 conditional ,Baseline
44,0.9744362344547195,Sricharan WGan 002 conditional ,Baseline
45,0.9376731405452805,Sricharan WGan 002 conditional ,Baseline
46,0.9857710234972895,Sricharan WGan 002 conditional ,Baseline
47,0.9140913048569037,Sricharan WGan 002 conditional ,Baseline
48,0.953527645188935,Sricharan WGan 002 conditional ,Baseline
49,0.9541199353276466,Sricharan WGan 002 conditional ,Baseline
50,0.9842697454958546,Sricharan WGan 002 conditional ,Baseline
51,0.9742752386599172,Sricharan WGan 002 conditional ,Baseline
