,ROC,Measure,Classifier
0,0.9158314296177456,Sricharan WGAN conditional,Baseline
1,0.9694600007971939,Sricharan WGAN conditional,Baseline
2,0.7799609437280772,Sricharan WGAN conditional,Baseline
3,0.5937707083565849,Sricharan WGAN conditional,Baseline
4,0.845389697016502,Sricharan WGAN conditional,Baseline
5,0.8772595463966837,Sricharan WGAN conditional,Baseline
6,0.8966157874282525,Sricharan WGAN conditional,Baseline
7,0.5155023068797832,Sricharan WGAN conditional,Baseline
8,0.8446177268514828,Sricharan WGAN conditional,Baseline
9,0.9447089993223852,Sricharan WGAN conditional,Baseline
10,0.8292729903240592,Sricharan WGAN conditional,Baseline
11,0.917741736587213,Sricharan WGAN conditional,Baseline
12,0.7374958894690687,Sricharan WGAN conditional,Baseline
13,0.9085476933693399,Sricharan WGAN conditional,Baseline
14,0.9852849220742985,Sricharan WGAN conditional,Baseline
15,0.5032125979053731,Sricharan WGAN conditional,Baseline
16,0.7364624957649075,Sricharan WGAN conditional,Baseline
17,0.2960018235809949,Sricharan WGAN conditional,Baseline
18,0.9310654620735013,Sricharan WGAN conditional,Baseline
19,0.34771292550223215,Sricharan WGAN conditional,Baseline
20,0.18351387491031568,Sricharan WGAN conditional,Baseline
21,0.24389368174027423,Sricharan WGAN conditional,Baseline
22,0.7245855526048309,Sricharan WGAN conditional,Baseline
23,0.9895362075494262,Sricharan WGAN conditional,Baseline
24,0.8223126469826212,Sricharan WGAN conditional,Baseline
25,0.8627749073262119,Sricharan WGAN conditional,Baseline
26,0.8881482494120695,Sricharan WGAN conditional,Baseline
27,0.6757315810845822,Sricharan WGAN conditional,Baseline
28,0.9902191162109375,Sricharan WGAN conditional,Baseline
29,0.9875002491230866,Sricharan WGAN conditional,Baseline
30,0.8516579452826052,Sricharan WGAN conditional,Baseline
31,0.6982879638671875,Sricharan WGAN conditional,Baseline
32,0.9418515575175384,Sricharan WGAN conditional,Baseline
33,0.9442605777662629,Sricharan WGAN conditional,Baseline
34,0.9719963852240114,Sricharan WGAN conditional,Baseline
35,0.9859027473294005,Sricharan WGAN conditional,Baseline
36,0.8987186976841517,Sricharan WGAN conditional,Baseline
37,0.5343833456234056,Sricharan WGAN conditional,Baseline
38,0.9904635682397958,Sricharan WGAN conditional,Baseline
39,0.9672484105947067,Sricharan WGAN conditional,Baseline
40,0.9869406563895088,Sricharan WGAN conditional,Baseline
41,0.9722109424824618,Sricharan WGAN conditional,Baseline
42,0.9148170315489477,Sricharan WGAN conditional,Baseline
43,0.9692206869319995,Sricharan WGAN conditional,Baseline
44,0.9714595249720982,Sricharan WGAN conditional,Baseline
45,0.9885839345503827,Sricharan WGAN conditional,Baseline
46,0.9894241021603953,Sricharan WGAN conditional,Baseline
47,0.972875789720185,Sricharan WGAN conditional,Baseline
48,0.9929878079161352,Sricharan WGAN conditional,Baseline
49,0.9632926473812181,Sricharan WGAN conditional,Baseline
50,0.993880914182079,Sricharan WGAN conditional,Baseline
51,0.9854331503109056,Sricharan WGAN conditional,Baseline
52,0.8613530373086734,Sricharan WGAN conditional,Baseline
53,0.9946061737683354,Sricharan WGAN conditional,Baseline
54,0.9567992541254783,Sricharan WGAN conditional,Baseline
55,0.9803535305723852,Sricharan WGAN conditional,Baseline
56,0.9856100277024872,Sricharan WGAN conditional,Baseline
57,0.8020262426259566,Sricharan WGAN conditional,Baseline
58,0.9251003654635682,Sricharan WGAN conditional,Baseline
59,0.9670562744140623,Sricharan WGAN conditional,Baseline
