,ROC,Measure,Classifier
0,0.9445422425562021,None,Baseline
1,0.9516403821049905,None,Baseline
2,0.9462990274234693,None,Baseline
3,0.9485923611387915,None,Baseline
4,0.9607252782704877,None,Baseline
5,0.9608372279575893,None,Baseline
6,0.9435322041414221,None,Baseline
7,0.9366174814652424,None,Baseline
8,0.9482865625498245,None,Baseline
9,0.9557699086714763,None,Baseline
10,0.9586661202566963,None,Baseline
11,0.9558563232421874,None,Baseline
12,0.9213435893156092,None,Baseline
13,0.9563710738201531,None,Baseline
14,0.9475173950195311,None,Baseline
15,0.9181091931401466,None,Baseline
16,0.9263170203384088,None,Baseline
17,0.9706103266501913,None,Baseline
18,0.9571601711973852,None,Baseline
19,0.9471468244280135,None,Baseline
20,0.8762197689134248,Noise,Baseline
21,0.7941059968909439,Noise,Baseline
22,0.830535265864158,Noise,Baseline
23,0.7467417814293686,Noise,Baseline
24,0.9080343441087373,Noise,Baseline
25,0.8352686045121173,Noise,Baseline
26,0.7762270557637116,Noise,Baseline
27,0.7087866335499045,Noise,Baseline
28,0.8849804936623087,Noise,Baseline
29,0.8274445825693559,Noise,Baseline
30,0.7863939246352838,Noise,Baseline
31,0.8914779351682078,Noise,Baseline
32,0.7411425843530771,Noise,Baseline
33,0.8583461216517858,Noise,Baseline
34,0.6478729248046875,Noise,Baseline
35,0.7065093371332909,Noise,Baseline
36,0.8052763646962692,Noise,Baseline
37,0.8882872912348534,Noise,Baseline
38,0.7367373096699618,Noise,Baseline
39,0.7849415370396206,Noise,Baseline
40,0.780454363141741,Grey,Baseline
41,0.7571003193757972,Grey,Baseline
42,0.7416064204001914,Grey,Baseline
43,0.7547716413225447,Grey,Baseline
44,0.7488004723373725,Grey,Baseline
45,0.797500298947704,Grey,Baseline
46,0.6147708503567443,Grey,Baseline
47,0.7105546289560747,Grey,Baseline
48,0.79580392642897,Grey,Baseline
49,0.6965906571368782,Grey,Baseline
50,0.7809494952766263,Grey,Baseline
51,0.7985721510283801,Grey,Baseline
52,0.7296145692163585,Grey,Baseline
53,0.799250077228157,Grey,Baseline
54,0.7011228288922992,Grey,Baseline
55,0.7831163990254304,Grey,Baseline
56,0.7327734499561545,Grey,Baseline
57,0.7362171095244738,Grey,Baseline
58,0.7247846953722895,Grey,Baseline
59,0.7472640056999362,Grey,Baseline
60,0.8630657585299745,Snow,Baseline
61,0.802213240642937,Snow,Baseline
62,0.832686288016183,Snow,Baseline
63,0.7853158444774395,Snow,Baseline
64,0.922971297283562,Snow,Baseline
65,0.8573071226781728,Snow,Baseline
66,0.8156215122767856,Snow,Baseline
67,0.7086749952666613,Snow,Baseline
68,0.8724106769172512,Snow,Baseline
69,0.8883453680544483,Snow,Baseline
70,0.8434267627949616,Snow,Baseline
71,0.8852574873943718,Snow,Baseline
72,0.7812546710578763,Snow,Baseline
73,0.8643185362523915,Snow,Baseline
74,0.6846201371173469,Snow,Baseline
75,0.7682028011399873,Snow,Baseline
76,0.8019824903838488,Snow,Baseline
77,0.8988314258808994,Snow,Baseline
78,0.8156145056899713,Snow,Baseline
79,0.7929108288823341,Snow,Baseline
80,0.830266368632414,Rain,Baseline
81,0.7284052323321907,Rain,Baseline
82,0.7405999631297832,Rain,Baseline
83,0.6532377904775191,Rain,Baseline
84,0.8967844126175861,Rain,Baseline
85,0.7849250326351243,Rain,Baseline
86,0.740030405472736,Rain,Baseline
87,0.5518291239835778,Rain,Baseline
88,0.8520110772580517,Rain,Baseline
89,0.8512252496213328,Rain,Baseline
90,0.7319289226921237,Rain,Baseline
91,0.8468196635343592,Rain,Baseline
92,0.7425951276506696,Rain,Baseline
93,0.8189554019850127,Rain,Baseline
94,0.5135409296775351,Rain,Baseline
95,0.7109255109514508,Rain,Baseline
96,0.7694529319296077,Rain,Baseline
97,0.8345897441007653,Rain,Baseline
98,0.7152941956812021,Rain,Baseline
99,0.7243038878148915,Rain,Baseline
100,0.6827249332350128,Fog,Baseline
101,0.4165291299625319,Fog,Baseline
102,0.49052148935746176,Fog,Baseline
103,0.27316221898915816,Fog,Baseline
104,0.572305796097736,Fog,Baseline
105,0.5040273861009248,Fog,Baseline
106,0.5021097611407845,Fog,Baseline
107,0.22472770846619897,Fog,Baseline
108,0.6764498340840243,Fog,Baseline
109,0.5383051658163265,Fog,Baseline
110,0.30805906957509566,Fog,Baseline
111,0.7183205740792411,Fog,Baseline
112,0.45974077497209825,Fog,Baseline
113,0.5366777692522322,Fog,Baseline
114,0.20916607915138713,Fog,Baseline
115,0.4721290432676978,Fog,Baseline
116,0.5909778828523596,Fog,Baseline
117,0.5236480090082908,Fog,Baseline
118,0.36264505191725127,Fog,Baseline
119,0.5883801518654337,Fog,Baseline
120,0.5914079315808355,Perspective,Baseline
121,0.5831748806700414,Perspective,Baseline
122,0.5932115827287947,Perspective,Baseline
123,0.6039534588249362,Perspective,Baseline
124,0.6478652954101562,Perspective,Baseline
125,0.6234731868821748,Perspective,Baseline
126,0.6183820452008928,Perspective,Baseline
127,0.5567809124382175,Perspective,Baseline
128,0.5877019142617985,Perspective,Baseline
129,0.6403835063077965,Perspective,Baseline
130,0.605709932288345,Perspective,Baseline
131,0.615340096609933,Perspective,Baseline
132,0.5653921633350606,Perspective,Baseline
133,0.6154792941346461,Perspective,Baseline
134,0.5804284543407207,Perspective,Baseline
135,0.5121693513831314,Perspective,Baseline
136,0.6282635124362246,Perspective,Baseline
137,0.6639479033801021,Perspective,Baseline
138,0.6357484155771684,Perspective,Baseline
139,0.6397060472138074,Perspective,Baseline
140,0.8592098002531089,Blur,Baseline
141,0.8293338697783801,Blur,Baseline
142,0.8357909844846141,Blur,Baseline
143,0.8407036917550221,Blur,Baseline
144,0.8934316829759248,Blur,Baseline
145,0.8664173982581312,Blur,Baseline
146,0.8677623515226403,Blur,Baseline
147,0.8179073722995057,Blur,Baseline
148,0.85188931834941,Blur,Baseline
149,0.8635661845304529,Blur,Baseline
150,0.8698822332888233,Blur,Baseline
151,0.8580133866290657,Blur,Baseline
152,0.8150008843869578,Blur,Baseline
153,0.8695322153519611,Blur,Baseline
154,0.8251616808832909,Blur,Baseline
155,0.7927124646245217,Blur,Baseline
156,0.8243269628408004,Blur,Baseline
157,0.9002501818598533,Blur,Baseline
158,0.8583282159299267,Blur,Baseline
159,0.8276259753168844,Blur,Baseline
160,0.810496271873007,Rotate,Baseline
161,0.8162592673788265,Rotate,Baseline
162,0.8219162298708546,Rotate,Baseline
163,0.8213047883948501,Rotate,Baseline
164,0.8386129262496014,Rotate,Baseline
165,0.8263722633828923,Rotate,Baseline
166,0.8240907630141902,Rotate,Baseline
167,0.7868530896245216,Rotate,Baseline
168,0.8091382396464445,Rotate,Baseline
169,0.8578137767558195,Rotate,Baseline
170,0.8127341757015306,Rotate,Baseline
171,0.8247960927535077,Rotate,Baseline
172,0.7696008487623565,Rotate,Baseline
173,0.8257119315011161,Rotate,Baseline
174,0.8158572449976084,Rotate,Baseline
175,0.7844716286172673,Rotate,Baseline
176,0.8010305287886639,Rotate,Baseline
177,0.8575906558912628,Rotate,Baseline
178,0.8249981938576212,Rotate,Baseline
179,0.8270394461495536,Rotate,Baseline
180,0.7295535340601085,Crop,Baseline
181,0.7299776661152741,Crop,Baseline
182,0.7273763539839764,Crop,Baseline
183,0.7183623021962691,Crop,Baseline
184,0.7593182933573821,Crop,Baseline
185,0.7396191966776946,Crop,Baseline
186,0.712704561194595,Crop,Baseline
187,0.6580273375219228,Crop,Baseline
